,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium,Predicted Price
0,2017-01,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61,232000.0,406 ANG MO KIO AVE 10,406 ANG MO KIO AVENUE 10 SINGAPORE 560406,25.36666667,1221,608,1117,11,-17000.0,-18500.0,230342.3873007828
1,2017-02,ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,04 TO 06,44.0,Improved,1977,59,233000.0,323 ANG MO KIO AVE 3,ANG MO KIO 31,27.88333333,473,794,658,5,-17000.0,-18500.0,226000.14742452346
2,2017-02,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,07 TO 09,44.0,Improved,1980,62,238000.0,510 ANG MO KIO AVE 8,CHENG SAN CREST,27.41666667,625,713,779,8,-17000.0,-18500.0,241801.0209757746
3,2017-02,ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,07 TO 09,44.0,Improved,1977,59,245000.0,323 ANG MO KIO AVE 3,ANG MO KIO 31,27.88333333,473,794,658,8,-17000.0,-18500.0,232129.18505753812
4,2017-03,ANG MO KIO,2 ROOM,508,ANG MO KIO AVE 8,04 TO 06,44.0,Improved,1980,62,230000.0,508 ANG MO KIO AVE 8,CHENG SAN CREST,27.41666667,625,713,779,5,-17000.0,-18500.0,241931.29209875021
5,2017-04,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,67,205000.0,170 ANG MO KIO AVE 4,KEBUN BARU LINK 1,33.55,1423,297,1655,2,-17000.0,-18500.0,213671.64955461703
6,2017-04,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45.0,Improved,1986,67,210000.0,174 ANG MO KIO AVE 4,KEBUN BARU LINK 1,33.55,1423,297,1655,5,-17000.0,-18500.0,220767.44460315915
7,2017-04,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,07 TO 09,44.0,Improved,1980,62,239000.0,510 ANG MO KIO AVE 8,CHENG SAN CREST,27.41666667,625,713,779,8,-17000.0,-18500.0,241801.0209757746
8,2017-04,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,59,250000.0,314 ANG MO KIO AVE 3,TECK GHEE EVERGREEN,26.06666667,337,465,520,11,-17000.0,-18500.0,239519.90325513532
9,2017-05,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,04 TO 06,44.0,Improved,1978,59,210000.0,314 ANG MO KIO AVE 3,TECK GHEE EVERGREEN,26.06666667,337,465,520,5,-17000.0,-18500.0,232823.9985481167
10,2017-05,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44.0,Improved,1979,61,235000.0,406 ANG MO KIO AVE 10,406 ANG MO KIO AVENUE 10 SINGAPORE 560406,25.36666667,1221,608,1117,11,-17000.0,-18500.0,230342.3873007828
11,2017-05,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,07 TO 09,44.0,Improved,1980,62,255000.0,510 ANG MO KIO AVE 8,CHENG SAN CREST,27.41666667,625,713,779,8,-17000.0,-18500.0,241801.0209757746
