SEARCHVAL,coordinates,Nearest School,Neareset School Coordinates,Nearest School Distance,Raffles MRT Coords,Time To City,Nearest Malls,Nearest Mall Distance,Nearest MRT,Nearest MRT Distance,Original Nameds
BEACH ROAD GARDENS,"1.3036713506088,103.864478660925",STAMFORD PRIMARY SCHOOL,"1.30345638467449,103.857453500579",1160,"1.28393326234538,103.851463066212",12.46666667,CITY GATE MALL,407,NICOLL HIGHWAY MRT STATION (CC5),611,1 BEACH RD
1 BEDOK SOUTH AVENUE 1 SINGAPORE 460001,"1.32085208689731,103.933721091441",BEDOK GREEN PRIMARY SCHOOL,"1.32344593287992,103.937878976352",798,"1.28393326234538,103.851463066212",30.71666667,BEDOK MALL,899,TANAH MERAH MRT STATION (EW4),1953,1 BEDOK STH AVE 1
PING YI GARDENS,"1.32796879176302,103.922716018139",DAMAI PRIMARY SCHOOL,"1.33546106800406,103.921270169613",1226,"1.28393326234538,103.851463066212",25.81666667,DJITSUN MALL BEDOK,898,BEDOK NORTH MRT STATION (DT29),1465,1 CHAI CHEE RD
1 CHANGI VILLAGE ROAD SINGAPORE 500001,"1.38854656229022,103.987804503483",PASIR RIS PRIMARY SCHOOL,"1.37241870245531,103.962807212116",4624,"1.28393326234538,103.851463066212",59.18333333,JEWEL CHANGI AIRPORT,898,CHANGI AIRPORT MRT STATION (CG2),1465,1 CHANGI VILLAGE RD
1 DELTA AVENUE SINGAPORE 160001,"1.2920752508431,103.828584077626",ALEXANDRA PRIMARY SCHOOL,"1.29133439161334,103.824424680531",792,"1.28393326234538,103.851463066212",18.83333333,GREAT WORLD CITY,1118,TIONG BAHRU MRT STATION (EW17),1125,1 DELTA AVE
DOVER COMMUNITY CENTRE,"1.3025299473495,103.783271662459",FAIRFIELD METHODIST SCHOOL (PRIMARY),"1.30054082453424,103.785438270044",574,"1.28393326234538,103.851463066212",20.08333333,ROCHESTER MALL,1114,ONE-NORTH MRT STATION (CC23),1092,1 DOVER RD
EVERTON PARK,"1.27742654288695,103.840001188095",CANTONMENT PRIMARY SCHOOL,"1.27547252623201,103.839962631748",500,"1.28393326234538,103.851463066212",8.433333333,100 AM,764,OUTRAM PARK MRT STATION,396,1 EVERTON PK
GHIM MOH GREEN,"1.31287975684307,103.786855017635",HENRY PARK PRIMARY SCHOOL,"1.31667646178347,103.784296227747",1045,"1.28393326234538,103.851463066212",22.96666667,THE STAR VISTA,1211,BUONA VISTA MRT STATION (EW21),1082,1 GHIM MOH RD
HAIG VIEW,"1.31129091152627,103.897703432652",HAIG GIRLS' SCHOOL,"1.31194344271383,103.902902557195",758,"1.28393326234538,103.851463066212",24.7,KINEX,765,PAYA LEBAR MRT STATION (CC9),1136,1 HAIG RD
1 HOUGANG AVENUE 3 SINGAPORE 530001,"1.36413097349222,103.89300132385",HOLY INNOCENTS' PRIMARY SCHOOL,"1.36693830877349,103.894114899795",459,"1.28393326234538,103.851463066212",28.7,HOUGANG RIVERCOURT,495,HOUGANG MRT STATION (NE14),1209,1 HOUGANG AVE 3
