,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
0,2017-01,ANG MO KIO,EXECUTIVE,613,ANG MO KIO AVE 4,07 TO 09,147.0,Apartment,1996,78,888000.0,613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4 SINGAPORE 560613,32.11666667,1448,717,1055,8,150000.0,-62000.0
1,2017-03,ANG MO KIO,EXECUTIVE,616,ANG MO KIO AVE 4,07 TO 09,149.0,Apartment,1996,78,820000.0,616 ANG MO KIO AVE 4,616 ANG MO KIO AVENUE 4 SINGAPORE 560616,32.48333333,1358,627,1153,8,150000.0,-62000.0
2,2017-04,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,04 TO 06,149.0,Apartment,1996,78,770000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,5,150000.0,-62000.0
3,2017-06,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,04 TO 06,149.0,Apartment,1996,77,750000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,5,150000.0,-62000.0
4,2017-07,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,07 TO 09,156.0,Apartment,1996,77,860000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,8,150000.0,-62000.0
5,2017-09,ANG MO KIO,EXECUTIVE,613,ANG MO KIO AVE 4,10 TO 12,156.0,Apartment,1996,77,878000.0,613 ANG MO KIO AVE 4,613 ANG MO KIO AVENUE 4 SINGAPORE 560613,32.11666667,1448,717,1055,11,150000.0,-62000.0
6,2017-12,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,01 TO 03,149.0,Apartment,1996,77,718000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,2,150000.0,-62000.0
7,2018-02,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,04 TO 06,147.0,Apartment,1996,77,777000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,5,150000.0,-62000.0
8,2018-03,ANG MO KIO,EXECUTIVE,615,ANG MO KIO AVE 4,04 TO 06,153.0,Apartment,1996,77,880000.0,615 ANG MO KIO AVE 4,615 ANG MO KIO AVENUE 4 SINGAPORE 560615,33.68333333,1318,587,1114,5,150000.0,-62000.0
9,2018-04,ANG MO KIO,EXECUTIVE,614,ANG MO KIO AVE 4,07 TO 09,147.0,Apartment,1996,77,873000.0,614 ANG MO KIO AVE 4,614 ANG MO KIO AVENUE 4 SINGAPORE 560614,33.23333333,1368,637,1163,8,150000.0,-62000.0
