,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,combined_blk_street_name,oneMapAPI_Name,time_to_city,nearest_mall,nearest_school,nearest_mrt,storey,town_premium,flat_model_premium
0,2017-09,YISHUN,MULTI-GENERATION,633,YISHUN ST 61,04 TO 06,151.0,Multi Generation,1987,69,700000.0,633 YISHUN ST 61,633 YISHUN STREET 61 SINGAPORE 760633,35.65,243,382,942,5,-60000.0,0.0
1,2017-11,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,01 TO 03,179.0,Multi Generation,1987,69,695000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,2,-60000.0,0.0
2,2018-04,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,07 TO 09,164.0,Multi Generation,1987,68,728888.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,8,-60000.0,0.0
3,2018-06,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,07 TO 09,164.0,Multi Generation,1987,68,765000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,8,-60000.0,0.0
4,2018-07,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,10 TO 12,164.0,Multi Generation,1987,68,770000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,11,-60000.0,0.0
5,2018-08,YISHUN,MULTI-GENERATION,633,YISHUN ST 61,07 TO 09,171.0,Multi Generation,1987,68,778000.0,633 YISHUN ST 61,633 YISHUN STREET 61 SINGAPORE 760633,35.65,243,382,942,8,-60000.0,0.0
6,2018-09,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,04 TO 06,179.0,Multi Generation,1987,68,780000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,5,-60000.0,0.0
7,2018-09,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,10 TO 12,179.0,Multi Generation,1987,68,825000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,11,-60000.0,0.0
8,2018-10,YISHUN,MULTI-GENERATION,605,YISHUN ST 61,01 TO 03,163.0,Multi Generation,1988,68,660000.0,605 YISHUN ST 61,NEE SOON CENTRAL MEADOWS,36.45,955,790,844,2,-60000.0,0.0
9,2018-10,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,07 TO 09,179.0,Multi Generation,1987,68,868000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,8,-60000.0,0.0
10,2018-11,YISHUN,MULTI-GENERATION,666,YISHUN AVE 4,04 TO 06,164.0,Multi Generation,1987,68,750000.0,666 YISHUN AVE 4,666 YISHUN AVENUE 4 SINGAPORE 760666,42.9,244,288,1063,5,-60000.0,0.0
